date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:27	55/55	---M--	200	added ('OK')	text/plain	date:Tue,%2011%20Sep%202018%2007:16:25%20GMT	https://aimtoget.com/robots.txt		(from )
19:44:27	21390/21390	---MC-	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202023%2018:44:26%20GMT	https://aimtoget.com/	C:/My%20Web%20Sites/aimtoget/aimtoget.com/index.html	(from )
19:44:28	1562/1562	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2000:07:07%20GMT	https://aimtoget.com/assets/images/new/favicon.png	C:/My%20Web%20Sites/aimtoget/aimtoget.com/assets/images/new/favicon.png	(from https://aimtoget.com/)
19:44:28	33541/33541	---M--	200	added ('OK')	text/css	date:Mon,%2012%20Jun%202023%2007:28:32%20GMT	https://aimtoget.com/assets/css/v2/styles.css?v=2.5.67	C:/My%20Web%20Sites/aimtoget/aimtoget.com/assets/css/v2/styles2893.css	(from https://aimtoget.com/)
19:44:28	888/888	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2000:07:07%20GMT	https://aimtoget.com/assets/css/v2.5/fonts.css?v=2.5.67	C:/My%20Web%20Sites/aimtoget/aimtoget.com/assets/css/v2.5/fonts2893.css	(from https://aimtoget.com/)
19:44:29	41500/41500	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2000:07:07%20GMT	https://aimtoget.com/assets/css/v2/iziToast.min.css?v=2.5.67	C:/My%20Web%20Sites/aimtoget/aimtoget.com/assets/css/v2/iziToast.min2893.css	(from https://aimtoget.com/)
19:44:30	25078/25078	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2000:07:07%20GMT	https://aimtoget.com/assets/css/v2/sweetalert2.min.css?v=2.5.67	C:/My%20Web%20Sites/aimtoget/aimtoget.com/assets/css/v2/sweetalert2.min2893.css	(from https://aimtoget.com/)
19:44:30	101709/101709	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2000:07:07%20GMT	https://aimtoget.com/assets/fontawesome-free-6.1.2-web/css/all.min.css	C:/My%20Web%20Sites/aimtoget/aimtoget.com/assets/fontawesome-free-6.1.2-web/css/all.min.css	(from https://aimtoget.com/)
19:44:30	4127/4127	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2001:40:22%20GMT	https://aimtoget.com/assets/images/new/atg-favicon.png	C:/My%20Web%20Sites/aimtoget/aimtoget.com/assets/images/new/atg-favicon.png	(from https://aimtoget.com/)
19:44:31	511/511	---M--	200	added ('OK')	application/javascript	date:Sat,%2004%20Mar%202023%2000:07:07%20GMT	https://aimtoget.com/assets/js/v2/alpine.persist.min.js	C:/My%20Web%20Sites/aimtoget/aimtoget.com/assets/js/v2/alpine.persist.min.js	(from https://aimtoget.com/)
